"MODEL_DESC","Model","TIME_AGG_PERIOD","START_WEEK","END_WEEK","dependent_variable","CNT_EXPSD_HH","UDJ_AVG_EXPSD_HH_PRE","UDJ_AVG_CNTRL_HH_PRE","UDJ_AVG_EXPSD_HH_PST","UDJ_AVG_CNTRL_HH_PST","UDJ_DOD_EFFCT","UDJ_DIFF_EFFCT","ADJ_MEAN_EXPSD_GRP","ADJ_MEAN_CNTRL_GRP","ADJ_DOD_EFFCT","TWOTAIL_PVAL","ONETAIL_PVAL","ABS_DIFF","DOL_DIFF","ONETAIL_80_PCT_INTRVL_UB","ONETAIL_80_PCT_INTRVL_LB","ONETAIL_90_PCT_INTRVL_UB","ONETAIL_90_PCT_INTRVL_LB","TWOTAIL_80_PCT_INTRVL_UB","TWOTAIL_80_PCT_INTRVL_LB","TWOTAIL_90_PCT_INTRVL_UB","TWOTAIL_90_PCT_INTRVL_LB","CNT_IMPRESSIONS","TWOTAIL_PVAL_to_Campaign","ONETAIL_PVAL_to_Campaign","CNT_Model_HH"
"creative (Chicken_Rice_Video/MultiSoup_Video)","","","","","occ",,0.9976164909529691,1.0359848484848484,1.4469638803324338,1.487794612794613,-0.1655050306758771,-2.7443796415880457,1.4725662957074466,1.4848647835346573,-0.828256415236325,20.108285053614427,60.05414252680721,-0.012298487827210769,-0.012298487827210769,3.0466431710113864,-4.598222244779918,5.171218685141132,-6.4975328614429815,5.171218685141132,-6.4975328614429815,6.905384338783714,-8.049568165673493,,11.741806401575205,55.8709032007876,110
"creative (Chicken_Rice_Video/MultiSoup_Video)","","","","","dolocc",,2.6004033025960034,2.4603125000000023,3.712250581310919,3.438050298968495,3.900742225518324,7.975458719283175,3.456596596067624,3.430350483998152,0.7651145908240102,21.457856615513126,60.72892830775656,0.026246112069471916,0.026246112069471916,3.5392787202928377,-1.9294840206868575,5.019408414821337,-3.318400254014655,5.019408414821337,-3.318400254014655,6.2305396566413656,-4.445391103174913,,18.37432760407126,59.187163802035634,110
"creative (Chicken_Rice_Video/MultiSoup_Video)","","","","","dolhh",322890,0.008716318498334846,0.008619903322725511,0.19020284589766875,0.16501368853656523,15.206460996073002,15.264889588551853,0.17865396281485407,0.1541558547718728,15.891779186223415,97.28235332275453,98.64117666137727,0.024498108042981276,0.024498108042981276,24.66156366249545,7.72958280841677,29.441161043001184,3.6846024255276832,29.441161043001184,3.6846024255276832,33.558295615802386,0.49140093444847777,1117413,20.25308203123086,60.12654101561543,3303
"creative (Custom)","","","","","pen",,0.003563096682399996,0.003353850258208358,0.03220388685146432,0.030184652323875228,5.996385460984096,6.689606711129582,0.03390684617758217,0.030264577931506678,12.034756454619968,99.99985,99.99985,0.0036422682460754904,0.0036422682460754904,15.955371471101826,8.27348461168887,18.028703270841167,6.371714810172207,18.028703270841167,6.371714810172207,19.740639778280954,4.820044033730145,,82.95914005858818,91.4795700292941,19728
"creative (Custom)","","","","","occ",,1.026119819265911,1.0359848484848484,1.4463682381052723,1.487794612794613,-2.1213509713628804,-2.7844148871817067,1.4620463581115282,1.4848647835346573,-1.5367342317063297,46.08948471524488,73.04474235762244,-0.022818425423129174,-0.022818425423129174,1.041762418971665,-4.0245717788400155,2.425619881060141,-5.313814169250655,2.425619881060141,-5.313814169250655,3.559506736276953,-6.367387471093755,,32.11371031608018,66.0568551580401,615
"creative (Custom)","","","","","dolocc",,2.411356963161011,2.4603125000000023,3.3541534104466093,3.438050298968495,-1.016312986851227,-2.440246105388768,3.392240185950094,3.430350483998152,-1.1109738852001925,28.044743551420304,64.02237177571016,-0.03811029804805788,-0.03811029804805788,1.234086847518681,-3.4126592968388563,2.4979905782449103,-4.598583706808417,2.4979905782449103,-4.598583706808417,3.567773688667645,-5.562830067323912,,26.79536304611627,63.39768152305814,615
"creative (Custom)","","","","","dolhh",2247405,0.008906630170316301,0.008619903322725511,0.1634935117599351,0.16501368853656523,-1.0950022632943772,-0.9212428314959329,0.1681648150763937,0.1541558547718728,9.087530490004433,96.75537417300562,98.3776870865028,0.014008960304520895,0.014008960304520895,14.680557587518356,3.7780322799925603,17.696315488789676,1.1244639905916711,17.696315488789676,1.1244639905916711,20.251794828285018,-1.0246499759598884,2959965,81.67603490136885,90.83801745068443,19728
"creative (MultiSoup_Video)","","","","","pen",,0.0031459897418028224,0.003353850258208358,0.0361396934160402,0.030184652323875228,20.417335082888552,19.72870526474377,0.03622743370120795,0.030264577931506678,19.70242500389768,99.99985,99.99985,0.005962855769701271,0.005962855769701271,24.539289860592866,15.066197354383224,27.121262353236446,12.71887143607165,27.121262353236446,12.71887143607165,29.254627321292183,10.825648824438815,,15.871471982185447,57.93573599109272,11491
"creative (MultiSoup_Video)","","","","","occ",,1.0530396293392452,1.0359848484848484,1.5937652413259191,1.487794612794613,5.976352307788876,7.122665159558235,1.542976262254726,1.4848647835346573,3.9135872413740476,69.3250628909904,84.6625314454952,0.05811147872006872,0.05811147872006872,6.939917501060144,0.9805048318415382,8.56807894275805,-0.5076217098485172,8.56807894275805,-0.5076217098485172,9.923663193318545,-1.7405315600752407,,70.3964674916317,85.19823374581586,402
"creative (MultiSoup_Video)","","","","","dolocc",,2.52473258011685,2.4603125000000023,3.72717306580606,3.438050298968495,6.535759141980385,8.409497875127345,3.4976022299236322,3.430350483998152,1.9604919741931668,51.57162057991083,75.7858102899554,0.06725174592548022,0.06725174592548022,4.523090021882934,-0.5299257070086696,5.882900680306559,-1.8230610268556153,5.882900680306559,-1.8230610268556153,7.019854829093816,-2.8524405889816307,,46.08246219203128,73.04123109601564,402
"creative (MultiSoup_Video)","","","","","dolhh",1214137,0.008419632756069969,0.008619903322725511,0.21663997911408928,0.16501368853656523,31.40743147056881,31.28606543819195,0.19550921513164135,0.1541558547718728,26.82568263201241,99.99985,99.99985,0.041353360359768554,0.041353360359768554,34.14352157870211,19.950845721970726,38.07409022843882,16.485597800483003,38.07409022843882,16.485597800483003,41.32963721312193,13.662605838892594,1556411,67.68822801935997,83.84411400967998,11491
"creative (Other)","","","","","pen",,0.0030842414080158595,0.003353850258208358,0.033704236870182765,0.030184652323875228,12.553377643190178,11.660179181602308,0.037812454613882086,0.030264577931506678,24.939639665411477,99.99985,99.99985,0.007547876682375408,0.007547876682375408,29.098310857805583,20.915761809736093,31.282780522279946,18.87339853839067,31.282780522279946,18.87339853839067,33.136525895370525,17.183337000438872,,41.44688706768919,70.72344353384459,17256
