"MODEL_DESC","Model","TIME_AGG_PERIOD","START_WEEK","END_WEEK","dependent_variable","CNT_EXPSD_HH","UDJ_AVG_EXPSD_HH_PRE","UDJ_AVG_CNTRL_HH_PRE","UDJ_AVG_EXPSD_HH_PST","UDJ_AVG_CNTRL_HH_PST","UDJ_DOD_EFFCT","UDJ_DIFF_EFFCT","ADJ_MEAN_EXPSD_GRP","ADJ_MEAN_CNTRL_GRP","ADJ_DOD_EFFCT","TWOTAIL_PVAL","ONETAIL_PVAL","ABS_DIFF","DOL_DIFF","ONETAIL_80_PCT_INTRVL_UB","ONETAIL_80_PCT_INTRVL_LB","ONETAIL_90_PCT_INTRVL_UB","ONETAIL_90_PCT_INTRVL_LB","TWOTAIL_80_PCT_INTRVL_UB","TWOTAIL_80_PCT_INTRVL_LB","TWOTAIL_90_PCT_INTRVL_UB","TWOTAIL_90_PCT_INTRVL_LB","CNT_Model_HH","CNT_IMPRESSIONS"
"audience(BHV_Amazon_High_indexing_Segments)","","","","","dolhh","862852",0.6203197791597587,0.6019177894593832,0.6391680546489367,0.6321276882811306,-1.5674616980446476,1.9761062787871393,0.6336468106470837,0.6380500746749604,-0.672959156318852,5.735069467887966,52.86753473394399,-0.004403264027876719,-0.004403264027876719,3.421239432430184,-5.649787311989302,6.700414855130211,-7.782203325506183,6.700414855130211,-7.782203325506183,8.128499939995795,-8.097029983292328,"6344","1965963"
"audience(BHV_DLX_Competitive_Conquesting)","","","","","pen","",0.043155929637802605,0.043155929637802605,0.0462384960405028,0.0413063897961825,11.940298507462686,11.940298507462686,0.04566481213016383,0.041890905602757,9.00889220012101,97.77412935108842,98.88706467554421,0.003773906527406827,0.003773906527406827,12.151122156330588,6.571636380239313,12.91820070137622,3.2033928086659835,12.91820070137622,3.2033928086659835,13.881320329754725,1.5646430260457063,"4339",""
"audience(BHV_DLX_Competitive_Conquesting)","","","","","occ","",1.403361344537815,1.3826890756302521,1.3411764705882354,1.462999985666894,-9.739971659758167,-8.326966252369893,1.344706672682987,1.4587896125424147,-7.820383342365665,96.85956498339962,98.42978249169981,-0.11408293985942763,-0.11408293985942763,-3.983414710982898,-10.198392669431474,-3.067121072772932,-12.119055881617427,-3.067121072772932,-12.119055881617427,-2.5323007598020113,-13.176294870959623,"255",""
"audience(BHV_DLX_Competitive_Conquesting)","","","","","dolocc","",6.723412815126053,6.72341281512605,7.58609346405229,7.383044689363632,2.750203787621347,2.7502037876213836,7.601598355361476,7.368780136193623,3.159521859314382,79.24735897329866,89.62367948664932,0.2328182191678536,0.2328182191678536,5.532903502596183,0.6435419839649905,6.266484804489069,-0.09699739826525404,6.266484804489069,-0.09699739826525404,6.4785973321179275,-0.5911122834054667,"255",""
"audience(BHV_DLX_Competitive_Conquesting)","","","","","dolhh","641308",0.407192493888279,0.4011943290082479,0.4704438705465074,0.4461666022537157,-0.019132740327217995,2.499999991831366,0.46678205784848975,0.4503062864166888,3.7178806483221747,57.36426425652754,78.68213212826377,0.016475771431800956,0.016475771431800956,7.0612520131492555,-0.09886444801509127,8.822916601975818,-0.4711765254580829,8.822916601975818,-0.4711765254580829,9.39409490093299,-3.5082987461968402,"4339","1698263"
"audience(BHV_DLX_Lapsed_Purchasers)","","","","","pen","",0.061514960423280786,0.061514960423280786,0.04588132407261275,0.04985090825904324,-7.962912462503404,-7.962912462503404,0.04581792637133104,0.049924125260833965,-8.224878989966571,67.09856374299731,83.54928187149866,-0.004106198889502928,-0.004106198889502928,-2.3027953384259883,-14.760730343384415,4.338979121320326,-17.310396280077985,4.338979121320326,-17.310396280077985,5.604946804513597,-17.54725740623555,"2315",""
"audience(BHV_DLX_Lapsed_Purchasers)","","","","","occ","",1.4917127071823209,1.4735911602209948,1.377777777777778,1.5938886718909624,-14.695658812645998,-13.558719496813671,1.3847298978565397,1.5863825130782556,-12.711474915997673,99.39276564422471,99.69638282211235,-0.20165261522171596,-0.20165261522171596,-8.163979545315483,-16.927069298192546,-6.9164232249460085,-18.24876593944498,-6.9164232249460085,-18.24876593944498,-6.020933893207676,-20.00803661277561,"135",""
"audience(BHV_DLX_Lapsed_Purchasers)","","","","","dolocc","",6.819160922564238,6.819160922564237,7.431956790123458,7.3292085267402625,1.4019012149582368,1.401901214958249,7.4543262438287385,7.308947828143243,1.9890471118936361,42.74971366141098,71.3748568307055,0.1453784156854958,0.1453784156854958,5.01122245857049,-1.5100317018377805,5.942417022361677,-1.860395492548532,5.942417022361677,-1.860395492548532,6.29689229534573,-1.986315355401812,"135",""
"audience(BHV_DLX_Lapsed_Purchasers)","","","","","dolhh","295435",0.6257442643829334,0.6181426303563555,0.4698057136631371,0.582355441098061,-20.470355620918014,-18.256957193347326,0.47294310165343667,0.5788595997372878,-18.272939512119557,96.2494169162783,98.12470845813915,-0.10591649808385117,-0.10591649808385117,-11.764008640026297,-23.621107734470304,-6.867126558247026,-28.939323460425072,-6.867126558247026,-28.939323460425072,-3.775659962063975,-29.527398651490678,"2315","968827"
"audience(BHV_Foodies)","","","","","pen","",0.05220053516412355,0.05220053516412355,0.04812708299813703,0.05097548214235278,-5.587782644725917,-5.587782644725917,0.04844287742254978,0.05065881764516188,-4.374243864382265,59.93840369666589,79.96920184833294,-0.002215940222612095,-0.002215940222612095,0.48031929398735196,-9.340056147451781,1.9614295573307086,-10.174879676801943,1.9614295573307086,-10.174879676801943,3.161604473107269,-10.729067442253866,"5215",""
"audience(BHV_Foodies)","","","","","occ","",1.4653179190751446,1.477456647398844,1.4294670846394981,1.489335894492469,-3.2047895780781475,-4.019832602864435,1.431805914110835,1.4868644613595727,-3.702997057202697,84.4787752743908,92.23938763719539,-0.05505854724873771,-0.05505854724873771,-1.1553405401963885,-5.69068436784491,-0.5346745878477173,-7.089719062866435,-0.5346745878477173,-7.089719062866435,-0.42012207554130443,-7.820824382573431,"319",""
"audience(BHV_Foodies)","","","","","dolocc","",6.731842164418758,6.731842164418754,7.59131997313032,7.262709554721252,4.524625636384485,4.524625636384546,7.608044431035937,7.235494185286054,5.148926061021419,93.64600824205445,96.82300412102722,0.37255024574988305,0.37255024574988305,7.21226347398529,2.592093198698251,8.126294831104167,1.6636972592108525,8.126294831104167,1.6636972592108525,8.849948187025888,0.23870355665987947,"319",""
"audience(BHV_Foodies)","","","","","dolhh","689017",0.5149211623031705,0.5191867813991727,0.5222530639623503,0.5513821153840687,-2.2900816605499217,-4.790508490678803,0.5277000359244101,0.5449976496635058,-3.129897824655253,38.57837826872269,69.28918913436135,-0.017297613739095774,-0.017297613739095774,1.4367146603495597,-6.6824131641097875,4.6233511713677515,-9.053498246790312,4.6233511713677515,-9.053498246790312,6.643901032905379,-11.53704398038783,"5215","2023657"
"audience(BHV_Head_of_Household_Grocery_Shopper)","","","","","pen","",0.05417758835354736,0.05417758835354736,0.05032251218099507,0.051550629304536716,-2.3823513701190917,-2.3823513701190917,0.050273599897716854,0.05159742806350943,-2.565686344216846,70.34239464309928,85.17119732154964,-0.0013238281657925732,-0.0013238281657925732,-0.7992590590555194,-5.078108383778064,-0.21899457802900504,-5.188505811658282,-0.21899457802900504,-5.188505811658282,0.09290009665922765,-5.988610842965955,"11429",""
"audience(BHV_Head_of_Household_Grocery_Shopper)","","","","","occ","",1.526048284625159,1.5177128335451082,1.5690834473324216,1.5255749799427645,2.3055580205520827,2.851938971317516,1.5580056379651444,1.536282330164403,1.414017942809808,57.83298980823726,78.91649490411862,0.021723307800741276,0.021723307800741276,2.905184610836942,0.29031196497130934,3.212905520367048,-1.4779489360544789,3.212905520367048,-1.4779489360544789,3.642079284712178,-1.870819664310904,"731",""
"audience(BHV_Head_of_Household_Grocery_Shopper)","","","","","dolocc","",6.72784262116537,6.727842621165365,7.5357404892189495,7.198352288695141,4.687019848329243,4.687019848329305,7.5269720167011736,7.208071013386279,4.424221164340027,97.87809197734387,98.93904598867194,0.31890100331489446,0.31890100331489446,5.840646947030518,2.690483281740455,6.888604611689436,2.23484498489661,6.888604611689436,2.23484498489661,7.170664211490029,1.6463493852666111,"731",""
"audience(BHV_Head_of_Household_Grocery_Shopper)","","","","","dolhh","1550840",0.5562419872075923,0.5532037295588977,0.5950237336088707,0.5661097387396008,4.98611845314328,4.756641152346159,0.5895617656817368,0.5713709373551105,3.18735507710938,65.58960837750148,82.79480418875073,0.01819082832662633,0.01819082832662633,6.093905997376014,0.404951581981437,7.764381501918867,-1.5836250573629318,7.764381501918867,-1.5836250573629318,8.673004723116119,-2.278510251973613,"11429","3994230"
"audience(BHV_Health_and_Fitness_Enthusiasts)","","","","","pen","",0.04581431787650419,0.04581431787650419,0.04617506053694909,0.05008551097617198,-7.807548256986477,-7.807548256986477,0.04611831264410898,0.05014566451369171,-8.031306212889257,84.03110715349084,92.01555357674542,-0.004027351869582724,-0.004027351869582724,-1.3899396135699684,-13.263681720486566,-0.12062820180794437,-14.34523460561852,-0.12062820180794437,-14.34523460561852,0.4117600629039639,-15.797703207563844,"2181",""
"audience(BHV_Health_and_Fitness_Enthusiasts)","","","","","occ","",1.6299212598425197,1.617322834645669,1.5234375,1.5884455167091116,-4.885684846575334,-4.092555647976711,1.5093915573886494,1.602471207981022,-5.80850689415163,72.35806148947927,86.17903074473962,-0.09307965059237255,-0.09307965059237255,-2.610405675607438,-10.09852453102376,1.4078525799832717,-10.829354682282577,1.4078525799832717,-10.829354682282577,3.907574552709315,-12.435796238167091,"128",""
"audience(BHV_Health_and_Fitness_Enthusiasts)","","","","","dolocc","",6.213249343832021,6.213249343832021,7.394050595238098,7.410136973142738,-0.21708610735460102,-0.21708610735460102,7.411841245552865,7.396672376444245,0.20507693644681665,7.274860611221445,53.63743030561072,0.015168869108619809,0.015168869108619809,2.7077157798350093,-1.7569963335145846,4.750843019882294,-4.181020569595226,4.750843019882294,-4.181020569595226,5.210350037541091,-4.62792595113313,"128",""
"audience(BHV_Health_and_Fitness_Enthusiasts)","","","","","dolhh","297069",0.46396650834842806,0.4603802937911454,0.5201331492221469,0.5895364580575154,-13.13868705958456,-13.412716503403226,0.5159426550305544,0.5943742807617152,-13.250718519407787,86.45997120604892,93.22998560302447,-0.0784316257311608,-0.0784316257311608,-4.910100175829458,-19.9616562758519,-2.0253647973933835,-23.661459209911754,-2.0253647973933835,-23.661459209911754,-1.0994450148281545,-25.394158133790945,"2181","1205653"
"audience(CTX_Foodies_and_Recipes)","","","","","pen","",0.050390551189135095,0.050390551189135095,0.04970340730928324,0.051993886908789394,-4.405286343612352,-4.405286343612352,0.04928531593551978,0.05241041798430122,-5.962749714603523,77.05711056487044,88.52855528243522,-0.003125102048781435,-0.003125102048781435,-0.24766652455230154,-10.203618960805239,0.7052768558719396,-11.473287323735553,0.7052768558719396,-11.473287323735553,1.6451162744843064,-12.260104916455965,"3435",""
"audience(CTX_Foodies_and_Recipes)","","","","","occ","",1.5363636363636366,1.5263636363636366,1.4516129032258065,1.5893095248605167,-9.293131345681237,-8.66392728922926,1.4382575197687806,1.6034955263555506,-10.304862337990148,99.83686640381816,99.91843320190908,-0.16523800658677001,-0.16523800658677001,-7.901731823448162,-13.007333368104202,-5.793052516151515,-14.10239139841534,-5.793052516151515,-14.10239139841534,-4.705879960320629,-14.694125139597475,"217",""
"audience(CTX_Foodies_and_Recipes)","","","","","dolocc","",6.310911363636365,6.3109113636363645,7.600541310072419,7.197999333541293,5.5924147513512175,5.59241475135123,7.641711679975077,7.162009024005102,6.697878407610802,98.43845903398255,99.21922951699128,0.47970265596997486,0.47970265596997486,8.291237996623812,5.0560539810939025,9.813677980748595,3.556537496136652,9.813677980748595,3.556537496136652,10.533394639668927,3.4019649136781114,"217",""
