MODEL_DESC,dependent_variable,CNT_EXPSD_HH,UDJ_AVG_EXPSD_HH_PRE,UDJ_AVG_CNTRL_HH_PRE,UDJ_AVG_EXPSD_HH_PST,UDJ_AVG_CNTRL_HH_PST,UDJ_DOD_EFFCT,UDJ_DIFF_EFFCT,ADJ_MEAN_EXPSD_GRP,ADJ_MEAN_CNTRL_GRP,ADJ_DOD_EFFCT,PVAL,TWOTAIL_PVAL,ONETAIL_PVAL,ABS_DIFF,DOL_DIFF,ONETAIL_80_PCT_INTRVL_UB,ONETAIL_80_PCT_INTRVL_LB,ONETAIL_90_PCT_INTRVL_UB,ONETAIL_90_PCT_INTRVL_LB,TWOTAIL_80_PCT_INTRVL_UB,TWOTAIL_80_PCT_INTRVL_LB,TWOTAIL_90_PCT_INTRVL_UB,TWOTAIL_90_PCT_INTRVL_LB,COVAR,CORR_PVAL,unadj_avg_cntrl_hh_pst,idx,CNT_IMPRESSIONS,TWOTAIL_PVAL_to_Campaign,ONETAIL_PVAL_to_Campaign,CNT_Model_HH
frequency_type_std(Eight_Exposures),occ,,2.218715196,2.267744398,2.112014499,2.372389907,-8.908578036,-10.97523672,1.838858013,2.027721522,-9.314075264,0.001687426,99.83125735,99.91562868,-0.188863509,-0.188863509,-6.864716413,-11.75372138,-5.653048904,-13.09965544,-5.653048904,-13.09965544,-4.142656364,-14.27592757,0,0,0,7,,,,452
frequency_type_std(Eight_Exposures),pen,,0.700041969,0.699673711,0.745950854,0.71303036,4.565336583,4.616983526,0.761494249,0.724189253,5.151277252,0.089241643,91.07583575,95.53791787,0.037304996,0.037304996,7.693692883,2.724724931,9.104042658,1.395483047,9.104042658,1.395483047,10.76238251,0.606649411,0,0,0,7,,,,1076
frequency_type_std(Five_Exposures),dolhh,133858,3.980828366,4.01669101,3.78113642,4.033046934,-5.356939154,-6.246158741,3.049297133,3.157036045,-3.412660187,0.249282707,75.07172932,87.53586466,-0.107738912,-0.107738912,-1.347241271,-5.693327395,-0.284288626,-7.00107229,-0.284288626,-7.00107229,0.714131562,-8.39340729,0,0,0,8,669292,,,3793
frequency_type_std(Five_Exposures),dolocc,,2.670207283,2.670207283,2.63372329,2.639422396,-0.215922496,-0.215922496,2.390890105,2.380192493,0.449443136,0.756077154,24.39228464,62.19614232,0.010697612,0.010697612,1.731855305,-0.80029253,2.228976713,-1.705267631,2.228976713,-1.705267631,2.80772916,-2.116738826,0,0,0,8,,,,1446
frequency_type_std(Five_Exposures),occ,,2.227243385,2.248061248,2.181041568,2.252579391,-2.251639194,-3.175818074,1.900450599,1.922239427,-1.133512663,0.580115813,41.98841872,70.99420936,-0.021788827,-0.021788827,0.622741321,-2.618018832,1.244418243,-3.592728991,1.244418243,-3.592728991,1.761564426,-4.539985558,0,0,0,8,,,,1446
frequency_type_std(Five_Exposures),pen,,0.669361608,0.669137864,0.658246047,0.678338145,-2.994943249,-2.961958989,0.671093147,0.690004882,-2.740811708,0.034461018,96.55389822,98.27694911,-0.018911735,-0.018911735,-1.690108041,-3.903833116,-1.229683913,-4.363715551,-1.229683913,-4.363715551,-0.620610657,-4.56570139,0,0,0,8,,,,3793
frequency_type_std(Four_Exposures),dolhh,53947,3.893279566,3.906241636,4.027746062,4.264954087,-5.257875009,-5.561795508,3.231099543,3.382396411,-4.473067291,0.363156732,63.68432677,81.84216339,-0.151296868,-0.151296868,-0.703644218,-7.352021163,2.452227137,-11.05588534,2.452227137,-11.05588534,3.710216058,-12.34901227,0,0,0,9,215791,,,1547
frequency_type_std(Four_Exposures),dolocc,,2.492249549,2.492249549,2.690437591,2.560219082,5.086225263,5.086225263,2.434377028,2.312571189,5.26711737,0.012427779,98.7572221,99.37861105,0.121805839,0.121805839,7.247413525,3.561406602,7.993078568,2.698520965,7.993078568,2.698520965,8.591855544,1.671614988,0,0,0,9,,,,582
frequency_type_std(Four_Exposures),occ,,2.195780523,2.203362236,2.35416375,2.376338019,-0.614077446,-0.933127714,2.039727443,2.050177604,-0.509719787,0.95408899,4.591101018,52.29555051,-0.010450161,-0.010450161,2.765082421,-2.448357173,3.694105588,-4.009242676,3.694105588,-4.009242676,4.548443495,-11.34927667,0,0,0,9,,,,582
frequency_type_std(Four_Exposures),pen,,0.711434851,0.711348086,0.635920011,0.701294501,-9.334345976,-9.321973938,0.650711297,0.713702909,-8.826027107,1.09E-07,99.99998911,99.99999456,-0.062991612,-0.062991612,-7.39111316,-10.25207512,-6.776431092,-10.85562514,-6.776431092,-10.85562514,-5.767104991,-11.73282808,0,0,0,9,,,,1547
