MODEL_DESC,MODEL,TIME_AGG_PERIOD,START_WEEK,END_WEEK,DEPENDENT_VARIABLE,CNT_EXPSD_HH,UDJ_AVG_EXPSD_HH_PRE,UDJ_AVG_CNTRL_HH_PRE,UDJ_AVG_EXPSD_HH_PST,UDJ_AVG_CNTRL_HH_PST,UDJ_DOD_EFFECT,UDJ_DIFF_EFFECT,ADJ_MEAN_EXPSD_GRP,ADJ_MEAN_CNTRL_GRP,ADJ_DOD_EFFECT,TWOTAIL_PVAL,ONETAIL_PVAL,ABS_DIFF,DOL_DIFF,ONETAIL_80_PCT_INTRVL_LB,ONETAIL_80_PCT_INTRVL_UB,ONETAIL_90_PCT_INTRVL_LB,ONETAIL_90_PCT_INTRVL_UB,TWOTAIL_80_PCT_INTRVL_LB,TWOTAIL_80_PCT_INTRVL_UB,TWOTAIL_90_PCT_INTRVL_LB,TWOTAIL_90_PCT_INTRVL_UB,CNT_IMPRESSIONS,TWOTAIL_PVAL_TO_CAMPAIGN,ONETAIL_PVAL_TO_CAMPAIGN,CNT_EXPSD_HH_MODEL,SE_ADJ_DOD_EFFECT
household_age ( 55_64 ),AGE5,20,2026,2045,OCC, ,1.83217530732229,1.83965793693212,1.77112479015109,1.83287843795927,-2.96097204672064,-3.36921677560541,1.77158654434438,1.798485125,-1.49562430523994,47.1173982945288,73.5586991472644,0.026898580655625, ,-3.37085813831978,0.379609527839893,-4.3084750548597,1.31722644437981,-4.3084750548597,1.31722644437981,-5.58260169219166,2.59135308171177, ,43.2327766495196,71.6163883247598,1787,1.68629007734541
household_age ( 55_64 ),AGE5,20,2026,2045,DOL/OCC, ,7.20625100647615,7.16562035141057,7.57287166351338,7.46079713014492,0.95759041636742,1.50217907568664,7.574731768875,7.49600075,1.05030697702372,54.7953159926882,77.3976579963441,0.078731018875, ,-0.052575733181544,2.15318968722897,-0.604017088284173,2.7046310423316,-0.604017088284173,2.7046310423316,-1.35337016315777,3.4539841172052, ,6.65149928418263,53.3257496420913,1787,4.13360481143033
household_age ( 55_64 ),AGE5,20,2026,2045,DOL/HH,566988,1.7933675446781,1.79778320055504,1.74140816765951,1.5625656116175,11.7280330858711,11.4454429761116,1.72124355919999,1.6086079064145,7.00205763855484,87.6607180061647,93.8303590030823,0.112635652785493,0.112635652785493,3.4132841719543,10.5908311051554,1.61889743865403,12.3852178384557,1.61889743865403,12.3852178384557,-0.819492797531112,14.8236080746408,2732532,0.307612386514911,50.1538061932575,13933,2.88646468635209
household_age ( more_then_65 ),AGE6,20,2026,2045,PEN, ,0.12017676223324,0.12017676223324,0.11144643242078,0.103326866422361,7.85813630041725,7.85813630041725,0.111764835325,0.107102725,4.35293343376651,82.6125415241076,91.3062707620538,0.004662110325, ,1.82524725713894,6.88061961039407,0.56140416882516,8.14446269870786,0.56140416882516,8.14446269870786,-1.15603086868562,9.86189773621864, ,99.9949240517987,99.9974620258993,9278,0.135361038730822
household_age ( more_then_65 ),AGE6,20,2026,2045,OCC, ,1.78206278026906,1.79312406576981,1.66731141199226,1.73887343532684,-3.47930657888627,-4.11542449730558,1.6693222075,1.754874125,-4.87510279405368,91.2305347531812,95.6152673765906,0.0855519175, ,-7.12939792058554,-2.62080766752182,-8.25654548385147,-1.49366010425589,-8.25654548385147,-1.49366010425589,-9.78822511678798,0.0380195286806319, ,99.2012034702146,99.6006017351073,1034,1.97800209383218
household_age ( more_then_65 ),AGE6,20,2026,2045,DOL/OCC, ,6.91476661231146,6.94423382414795,7.27932254222245,7.37828847761341,-0.941935569005418,-1.34131290327339,7.2838694503,7.352862125,-0.938310463695795,41.3799702668411,70.6899851334206,0.0689926747, ,-2.29945078039099,0.422829852999399,-2.98002093873859,1.103400011347,-2.98002093873859,1.103400011347,-3.90484700792245,2.02822608053086, ,99.1647317876766,99.5823658938383,1034,5.0041385407193
household_age ( more_then_65 ),AGE6,20,2026,2045,DOL/HH,461775,1.52229359775814,1.53160594955809,1.37073938348782,1.33049651505353,3.72456595515789,3.02465042027336,1.3589422809761,1.38197682591742,-1.66678228674564,30.3114196091236,65.1557098045618,0.0230345449413212,-0.0230345449413212,-5.04568330540773,1.71211873191645,-6.73513381473878,3.4015692412475,-6.73513381473878,3.4015692412475,-9.03092632703299,5.69736175354171,2246385,99.9999659963787,99.9999829981893,9278,2.33478145242989
household_income ( 100-150k ),INC5,20,2026,2045,PEN, ,0.131725095452968,0.131725095452968,0.125303713988199,0.1111014693972,12.7831293933871,12.7831293933871,0.125324358625,0.1189145625,5.390253296353,94.9560286670243,97.4780143335121,0.006409796125, ,3.21441140037953,7.56609519232648,2.12649045239279,8.65401614031321,2.12649045239279,8.65401614031321,0.648115825517843,10.1323907671882, ,28.9353592649634,64.4676796324817,11524,0.129369643564428
household_income ( 100-150k ),INC5,20,2026,2045,OCC, ,1.82411067193676,1.83157663592446,1.82617728531856,1.8177557927623,0.874014903829208,0.463290646069708,1.8243797450125,1.83409325,-0.529608022247506,16.930649655631,58.4653248278155,0.0097135049875, ,-2.4855547571196,1.42633871262459,-3.46352812455564,2.40431208006063,-3.46352812455564,2.40431208006063,-4.7924951003754,3.73327905588039, ,56.100079186316,78.050039593158,1444,1.79369435189422
household_income ( 100-150k ),INC5,20,2026,2045,DOL/OCC, ,7.33613268222409,7.31067832562085,7.585050036125,7.49482489772948,0.864206738330957,1.20383250611838,7.5849601136875,7.536751875,0.639642109585835,29.8153138553539,64.907656927677,0.0482082386875, ,-0.679731073727768,1.95901529289944,-1.33941766538457,2.61870188455624,-1.33941766538457,2.61870188455624,-2.23586507785494,3.51514929702662, ,3.68260015075959,51.8413000753798,1444,4.97189415658176
