tsv_brand,majorbrand,sales_upc_pre,sales_upc_post,percentage_sales_upc_pre,percentage_sales_upc_post,growth_contribution,product_grp_id,row_order
SEATTLE BAGEL BAKERY,ALL SEATTLE BAGEL BAKERY,0.0,423.0400000000001,0.0,0.0012938340019905158,0.02274934527875449,9,0
SILVER HILLS,SILVER HILLS,18.35,47.88000000000001,5.950633865734546E-5,1.4643715018746668E-4,0.0015880015272352972,9,0
SWEET NOTE,ALL SWEET NOTE BAKERY INC,111.84,223.67999999999998,3.626805948467311E-4,6.841073883444556E-4,0.006014293627023216,9,0
THE BREAD STOP,ALL EMILS PIZZA INC,25.83,4.29,8.376287343429062E-5,1.3120621852636423E-5,-0.0011583323026294714,9,0
TOUFAYAN,TOUFAYAN,39.419999999999995,39.620000000000005,1.2783323541539824E-4,1.2117460088612008E-4,1.0755174583375386E-5,9,0
TOUFAYAN BAKERIES,TOUFAYAN,0.0,10.950000000000001,0.0,3.3489699134351714E-5,5.888458084397732E-4,9,0
UDIS GLUTEN FREE,UDIS GLUTEN FREE,4112.8200000000015,3840.660000000003,0.013337267561673222,0.011746351404323226,-0.014635641573056418,9,0
WENNER,ALL WENNER BREAD PRODS INC,7.470000000000001,22.410000000000004,2.4224106254516108E-5,6.85391924749609E-5,8.034115413781016E-4,9,0
WEST COAST,OTHER PAN O GOLD BAKING CO,27.39,19.92,8.882172293322573E-5,6.092372664440969E-5,-4.0170577068905064E-4,9,0
WESTERN BAGEL,WESTERN BAGEL,301.68,406.2400000000001,9.783036646402168E-4,0.0012424525457843873,0.005622805272188378,9,0
WESTERN BAGEL THE ALTERNATIVE BAGEL,WESTERN BAGEL,39.18000000000001,29.310000000000002,1.2705495087710056E-4,8.964229055962087E-5,-5.307678656895491E-4,9,0
WESTERN PERFECT 10,WESTERN,34.11,34.11,1.106136900055615E-4,1.0432270661851477E-4,0.0,9,0
WHOLE GRAINS BAKERY,ALL WHOLE GRAINS BAKERY,7.470000000000001,10.46,2.4224106254516108E-5,3.199107332833962E-5,1.6078986002145406E-4,9,0
ZEPPYS,ALL ZEPPYS BKR INC,0.0,7.96,0.0,2.4345023297665715E-5,4.280559484183191E-4,9,0
GROUP TOTAL,GROUP TOTAL,22306.600000000013,19261.080000000016,0.07233700784163179,0.05890847252992505,-0.16377549648579873,9,1
