id,state_1,state_2
328,2016-02-08 09:46:10,2016-02-09 07:11:26
329,2016-02-08 09:58:11,2016-02-08 13:58:41
330,2016-02-08 10:09:10,2016-02-08 14:00:55
331,2016-02-08 11:03:08,2016-02-08 14:11:04
332,2016-02-08 11:30:17,2016-02-08 15:02:27
333,2016-02-08 11:34:12,2016-02-08 15:25:21
334,2016-02-08 11:37:10,2016-02-08 16:04:14
335,2016-02-08 11:41:13,2016-02-08 14:55:49
336,2016-02-08 11:44:12,2016-02-08 14:31:28
337,2016-02-08 12:25:10,2016-02-10 12:44:43
338,2016-02-08 12:37:09,2016-02-08 16:20:35
339,2016-02-08 12:49:14,2016-02-09 21:08:50
340,2016-02-08 13:03:11,2016-02-08 16:19:49
341,2016-02-08 13:08:11,2016-02-08 16:54:19
342,2016-02-08 13:10:14,2016-02-09 00:01:55
343,2016-02-08 14:19:10,2016-02-08 17:03:49
344,2016-02-08 14:25:11,
345,2016-02-08 14:35:13,2016-02-08 17:08:10
346,2016-02-08 14:37:13,2016-02-08 17:12:07
347,2016-02-08 14:47:11,
348,2016-02-08 14:50:17,2016-02-09 21:39:23
349,2016-02-08 14:54:15,
350,2016-02-08 15:12:10,2016-02-08 17:33:32
351,2016-02-08 15:16:10,2016-02-08 17:57:42
352,2016-02-08 15:34:11,2016-02-08 18:11:21
353,2016-02-08 17:01:09,2016-02-08 19:16:59
354,2016-02-08 17:45:15,2016-02-08 19:18:07
355,2016-02-08 18:04:11,
356,2016-02-08 18:18:10,2016-02-08 19:48:27
357,2016-02-08 18:39:11,
358,2016-02-08 21:28:10,2016-02-09 03:38:19
359,2016-02-08 21:35:09,2016-02-09 03:45:07
360,2016-02-08 21:35:17,2016-02-09 03:46:39
361,2016-02-08 21:54:11,2016-02-08 23:43:45
362,2016-02-08 21:58:11,2016-02-09 21:51:48
363,2016-02-08 21:59:09,2016-02-08 23:58:28
364,2016-02-08 22:28:14,2016-02-09 16:35:11
365,2016-02-08 23:46:12,
366,2016-02-08 23:59:08,2016-02-09 03:52:11
