Hubspot Domain,Umbrella Domain,Rank 06/09/2019,Rank 06/09/2018,Rank 06/08/2017,Match Type
shoper.in,shoper.pl,,998600,734479,Approximate
shoper.nl,shoper.pl,,998600,734479,Approximate
shopfactory.in,shopfactory.com,397262,350685,316471,Approximate
shopfashiony.com,shopfashiony.com,,,760223,Exact
shopfirebrand.com,shopfirebrand.com,,,693002,Exact
shopforhome.gr,shopforhome.info,,586952,,Approximate
shopgourmet.com,shopgourmet.com,549998,,,Exact
shopgreysuede.com,shopgreysuede.com,923999,,,Exact
shopguideposts.org,shopguideposts.org,,959717,,Exact
shophmtee.com,shophmtee.myshopify.com,616136,,,Approximate
shophny.com,shophny.com,,775046,,Exact
shophopes.com,shophopes.com,844522,683030,805876,Exact
shophush.com,shophush.com,563258,297991,,Exact
shopiconboutique.com,shopiconboutique.us11.list-manage.com,,769367,,Approximate
shopify.ca,shopify.ca,868444,575719,521991,Exact
shopify.co.id,shopify.com,2197,2627,3166,Approximate
shopify.co.nz,shopify.com,2197,2627,3166,Approximate
shopify.co.uk,shopify.co.uk,718050,628744,776670,Exact
shopify.co.za,shopify.com,2197,2627,3166,Approximate
shopify.com,shopify.com,2197,2627,3166,Exact
shopify.com.au,shopify.com,2197,2627,3166,Approximate
shopify.com.co,shopify.com,2197,2627,3166,Approximate
shopify.com.mx,shopify.com,2197,2627,3166,Approximate
shopify.com.ng,shopify.com,2197,2627,3166,Approximate
shopify.com.ph,shopify.com,2197,2627,3166,Approximate
shopify.com.sg,shopify.com,2197,2627,3166,Approximate
shopify.es,shopify.com,2197,2627,3166,Approximate
shopify.ie,shopify.com,2197,2627,3166,Approximate
shopify.in,shopify.com,2197,2627,3166,Approximate
shopify.my,shopify.com,2197,2627,3166,Approximate
shopilovejewelry.com,shopilovejewelry.com,723120,885367,630046,Exact
shopimg.com,shopimg.ca,,,844837,Approximate
shopimpressions.com,shopimpressions.com,400106,892945,593121,Exact
shopiral.com,shopiral.com,780729,,,Exact
shopjeanphotography.com,shopjeanphotography.com,,464954,,Exact
shopjimmy.com,shopjimmy.com,750494,642003,858994,Exact
shopkeep.com,shopkeep.com,179211,244911,654024,Exact
shoplafitness.com,shoplafitness.com,,,897365,Exact
shoplc.net,shoplc.com,552566,622336,620567,Approximate
shoplostfound.com,shoplostfound.com,623277,,,Exact
shoplovestreet.com,shoplovestreet.com,,,838098,Exact
shopluckyduck.com,shopluckyduck.com,,,710593,Exact
shoplyfie.com,shoplyfie.com,646191,753027,451240,Exact
shoplyfie.net,shoplyfie.com,646191,753027,451240,Approximate
shopmakarios.com,shopmakarios.com,,817012,221741,Exact
shopmarriott.cn,shopmarriott.com,904239,211951,54767,Approximate
shopmarriott.com,shopmarriott.com,904239,211951,54767,Exact
shopmart.ae,shopmart.co,844525,924789,,Approximate
shopmedia.nl,shopmedia.haufe-group.com,787339,959718,,Approximate
shopmercimilo.com,shopmercimilo.com,739266,,,Exact
shopmissa.com,shopmissa.com,473068,648873,787935,Exact
shopnation.in,shopnation.com,131982,229509,120262,Approximate
shopnational.com,shopnational.com,913913,727605,,Exact
shopnicekicks.com,shopnicekicks.com,262384,248389,719954,Exact
shopnorthern.com,shopnorthern.com,,,409875,Exact
shopnovaa.com,shopnovaa.com,,978428,,Exact
shopnow.my,shopnow.services,,479546,236972,Approximate
shopnsave.com.my,shopnsave.com,,950783,,Approximate
shopnsave.pk,shopnsave.com,,950783,,Approximate
shoponline.co.il,shoponline.usa.yamaha.com,,568001,537257,Approximate
shoponline.co.tz,shoponline.usa.yamaha.com,,568001,537257,Approximate
shoppable.it,shoppable.com,196542,271377,366459,Approximate
shoppaholix.com,shoppaholix.com,,959719,,Exact
shopper.nl,shopper.shop.pe,25443,76396,130966,Approximate
shopper.pk,shopper.shop.pe,25443,76396,130966,Approximate
shopper.rs,shopper.shop.pe,25443,76396,130966,Approximate
shopping.de,shopping.de,703048,792436,593122,Exact
shopping.hu,shopping.search.yahoo.com,12846,4258,3992,Approximate
shopping24.com.ua,shopping24.ilsole24ore.com,452363,164212,146662,Approximate
shopping2all.com,shopping2all.com,877104,,,Exact
shoppingblitz.com,shoppingblitz.com,424432,780803,,Exact
shoppingcity.com.br,shoppingcity.com.br,,,858998,Exact
shoppingdrink.com,shoppingdrink.com,,,729540,Exact
shoppings.co.nz,shoppings.services,,663298,,Approximate
shopplanetblue.com,shopplanetblue.com,583819,570497,326458,Exact
shoppriceless.com,shoppriceless.com,630689,663299,825001,Exact
shoppy.sg,shoppy.gg,396321,,,Approximate
shopredone.com,shopredone.com,538071,,,Exact
shoprescuespa.com,shoprescuespa.com,,941935,,Exact
shoprevelry.com,shoprevelry.com,369751,,,Exact
shoprite.com.au,shoprite.com,67751,77364,97912,Approximate
shopruche.com,shopruche.com,,933117,532713,Exact
shopsafety.ca,shopsafety.ca,733858,,,Exact
shopsandiegozoo.com,shopsandiegozoo.com,,575721,782168,Exact
shopseedling.com,shopseedling.com,,,844841,Exact
shopserve.jp,shopserve.jp,456575,463576,438222,Exact
shopstagandhen.com,shopstagandhen.com,934482,,,Exact
shopsucre.com,shopsucre.com,,,787941,Exact
shopsweetlulu.com,shopsweetlulu.com,,,617461,Exact
shop-task.com,shop-task.com,,613056,,Exact
shoptasteofhome.com,shoptasteofhome.com,529060,,221742,Exact
shop-thefinancialdiet.com,shop-thefinancialdiet.com,,849456,,Exact
shoptherage.com,shoptherage.com,,,923175,Exact
shoptivate.com,shoptivate.com,,460749,494803,Exact
shoptocook.com,shoptocook.com,438936,480995,472240,Exact
shoptoolbox.com,shoptoolbox.com,,,914384,Exact
shoptourismkit.com,shoptourismkit.com,844528,,,Exact
shopusahealth.com,shopusahealth.com,,863507,,Exact
shoputahharley.com,shoputahharley.com,945069,,,Exact
shopvida.com,shopvida.com,250498,,812247,Exact
shopwinedirect.com,shopwinedirect.com,,780804,858999,Exact
shopwoodworking.com,shopwoodworking.com,,,812248,Exact
shopyahaira.com,shopyahaira.com,,959722,,Exact
shopymax.com,shopymax.com,956567,,509429,Exact
shopzerouv.com,shopzerouv.com,,,234312,Exact
shore.co.uk,shore.co.uk,723121,,,Exact
shorelineoftahoe.com,shorelineoftahoe.com,836802,,,Exact
shortlist.ch,shortlist.com,257280,349446,197326,Approximate
shortpar4.com,shortpar4.com,,,385553,Exact
shoshanna.com,shoshanna.com,,,979060,Exact
shot.ph,shot.qip.ru,,,771127,Approximate
shotdeadinthehead.com,shotdeadinthehead.com,768212,747824,305929,Exact
shotgun.com.tw,imap.shotgun.hu,964677,,,Approximate
showmeyourmumu.com,showmeyourmumu.com,366213,375307,313161,Exact
showoff.co.il,showoff.asp.events,250499,338248,284559,Approximate
showroom.chat,showroom.auction123.com,654140,758481,329519,Approximate
showtv.co.nz,showtv.com.tr,276053,48038,45367,Approximate
shsmo.org,shsmo.org,768214,,,Exact
shubox.co.uk,shubox.co.uk,,,771130,Exact
shugarecords.com,shugarecords.com,662429,,,Exact
shurhold.com,shurhold.com,,,657585,Exact
siam.international,siam.org,381630,467736,409876,Approximate
siam.org,siam.org,381630,467736,409876,Exact
sibi.fr,sibi.usp.br,,,349789,Approximate
sibs.is,sibs.pt,347077,885378,979072,Approximate
sicat.com,sicat.com,616142,628749,838108,Exact
sicat.de,sicat.com,616142,628749,838108,Approximate
sick.af,sick.com,321260,357643,339711,Approximate
sickkidsfoundation.com,sickkidsfoundation.com,,908764,680717,Exact
sidechef.com,sidechef.com,,722704,,Exact
sidereel.com,sidereel.com,326302,298764,115356,Exact
sidesoft.eu,sidesoft.com,506345,444852,481159,Approximate
sidmashburn.com,sidmashburn.us1.list-manage.com,,863516,,Approximate
siegeldisplay.com,siegeldisplay.com,993653,,,Exact
sierranevada.com,sierranevada.com,542774,444853,338964,Exact
sieuthibepthaison.vn,sieuthibepthaison.vn,,,851752,Exact
sieuthivienthong.com,sieuthivienthong.com,,900646,,Exact
siga.ch,siga.udep.edu.pe,708056,933129,15187,Approximate
sigma.com.ar,sigma.octopart.com,270365,319028,82235,Approximate
sigma.lviv.ua,sigma.octopart.com,270365,319028,82235,Approximate
sigmabeauty.com,sigmabeauty.com,216194,543510,311898,Exact
sigmaphoto.com,sigmaphoto.com,934498,916690,755027,Exact
sigmaphoto.com.sg,sigmaphoto.com,934498,916690,755027,Approximate
sign.ag,sign.managewp.com,477804,320371,661385,Approximate
sign.builders,sign.managewp.com,477804,320371,661385,Approximate
signalbooster.co.nz,signalbooster.com,774336,,,Approximate
signalbooster.co.za,signalbooster.com,774336,,,Approximate
signalbooster.com,signalbooster.com,774336,,,Exact
signalbooster.fr,signalbooster.com,774336,,,Approximate
signals.fr,signals.www.grantinterface.com,338178,55014,390847,Approximate
signaturehardware.com,signaturehardware.com,93394,292065,297199,Exact
signatures.ru,signatures.mylivesignature.com,432709,319029,184997,Approximate
signon.no,signon.thomsonreuters.com,21581,22307,28781,Approximate
