Hubspot Domain,Umbrella Domain,Rank 06/09/2019,Rank 06/09/2018,Rank 06/08/2017,Match Type
topazette.com,topazette.com,794580,,,Exact
topbiz.fr,topbiz.gr,,951441,,Approximate
topbulb.com,topbulb.com,,843152,532890,Exact
topdeals.fr,topdeals.com.br,,,353910,Approximate
topdeals.store,topdeals.com.br,,,353910,Approximate
topdoctors.me,topdoctors.es,518481,598573,,Approximate
topgear.net.au,topgear.com,111450,99386,103663,Approximate
topgolf.com,topgolf.com,75616,84676,155649,Exact
tophifi.co.nz,tophifi.pl,,,941702,Approximate
tophifi.pl,tophifi.pl,,,941702,Exact
tophosting.domains,tophosting.at,750874,,647333,Approximate
topito.com,topito.com,344280,264750,173541,Exact
topknobs.com,topknobs.com,837349,830159,,Exact
topman.by,topman.com,181748,118947,119126,Approximate
topmedia.nl,topmedia.fun,945927,,,Approximate
topodesigns.com,topodesigns.com,512405,804999,460796,Exact
topper.com.ar,topper.wku.edu,,,526464,Approximate
toppik.ae,toppik.com,,805000,,Approximate
toppik.co.nz,toppik.com,,805000,,Approximate
toppik.co.uk,toppik.com,,805000,,Approximate
toppik.com,toppik.com,,805000,,Exact
toppik.com.au,toppik.com,,805000,,Approximate
topps.com,topps.com,386245,265761,350633,Exact
topsante.com,topsante.com,409147,405552,455952,Exact
topshelfcookies.com,topshelfcookies.com,,691669,,Exact
topshop.ba,topshop.com,59637,60193,32206,Approximate
topshop.bg,topshop.com,59637,60193,32206,Approximate
topshop.com.hr,topshop.com,59637,60193,32206,Approximate
topshop.com.mk,topshop.com,59637,60193,32206,Approximate
topshop.cz,topshop.com,59637,60193,32206,Approximate
topshop.hu,topshop.com,59637,60193,32206,Approximate
topshop.kiev.ua,topshop.com,59637,60193,32206,Approximate
top-shop.kz,top-shop.kz,,951440,,Exact
topshop.lk,topshop.com,59637,60193,32206,Approximate
topshop.lt,topshop.com,59637,60193,32206,Approximate
top-shop.ro,top-shop.kz,,951440,701915,Approximate
top-shop.rs,top-shop.kz,,951440,701915,Approximate
topshop.si,topshop.com,59637,60193,32206,Approximate
topshop.sk,topshop.com,59637,60193,32206,Approximate
topshoptv.com.ua,topshoptv.com.ua,,625733,411173,Exact
topsolid.ch,topsolid.it.multi.uribl.com,,830161,,Approximate
topsolid.com,topsolid.it.multi.uribl.com,,830161,,Approximate
topsolid.fr,topsolid.it.multi.uribl.com,,830161,,Approximate
topsport.fi,topsport.lt,198670,307471,574100,Approximate
top-sport.fr,top-sport.be,886529,,,Approximate
tops-products.ca,tops-products.com,774794,969677,,Approximate
tops-products.com,tops-products.com,774794,969677,,Exact
topstreetwear.at,topstreetwear.com,,,999813,Approximate
topstreetwear.biz,topstreetwear.com,,,999813,Approximate
topstreetwear.com,topstreetwear.com,,,999813,Exact
topstreetwear.info,topstreetwear.com,,,999813,Approximate
topstreetwear.jp,topstreetwear.com,,,999813,Approximate
topstreetwear.me,topstreetwear.com,,,999813,Approximate
topstreetwear.org,topstreetwear.com,,,999813,Approximate
topstreetwear.org.uk,topstreetwear.com,,,999813,Approximate
topstreetwear.ro,topstreetwear.com,,,999813,Approximate
topstreetwear.us,topstreetwear.com,,,999813,Approximate
toptitans.com,toptitans.com,718411,,,Exact
toptshirttrends.com,toptshirttrends.com,,737913,,Exact
topvalue.com,topvalue.com,994634,885912,,Exact
topvalue.com.au,topvalue.com,994634,885912,,Approximate
topwedding.co.uk,topwedding.com,,979139,,Approximate
topwedding.com,topwedding.com,,979139,,Exact
topwedding.com.au,topwedding.com,,979139,,Approximate
topwedding.cz,topwedding.com,,979139,,Approximate
topwedding.de,topwedding.com,,979139,,Approximate
topwedding.dk,topwedding.com,,979139,,Approximate
topwedding.fi,topwedding.com,,979139,,Approximate
topwedding.fr,topwedding.com,,979139,,Approximate
topwedding.gr,topwedding.com,,979139,,Approximate
topwedding.hr,topwedding.com,,979139,,Approximate
topwedding.hu,topwedding.com,,979139,,Approximate
topwedding.it,topwedding.com,,979139,,Approximate
topwedding.jp,topwedding.com,,979139,,Approximate
topwedding.no,topwedding.com,,979139,,Approximate
topwedding.pt,topwedding.com,,979139,,Approximate
topwedding.ro,topwedding.com,,979139,,Approximate
topwedding.ru,topwedding.com,,979139,,Approximate
topwedding.se,topwedding.com,,979139,,Approximate
topwhite.it,topwhite.it,,,454357,Exact
torch.id,torch.buyerzone.com,246324,262332,328841,Approximate
torontoist.com,torontoist.com,,864043,150711,Exact
torpedo.com.ua,torpedo.agency,969531,357705,276020,Approximate
tortellini.biz,tortellini.clicker-loot.services,,557956,,Approximate
tortugabackpacks.com,tortugabackpacks.com,630977,704521,806396,Exact
toshiba.com.my,toshiba.com,67405,49803,41466,Approximate
toshibapc.sk,toshibapc.com,,,739977,Approximate
toshibaspares.com,toshibaspares.com,596496,,,Exact
totaldiabetessupply.com,totaldiabetessupply.com,599695,,,Exact
totalfratmove.com,totalfratmove.com,533672,309178,171803,Exact
totaline.com.mx,totaline.com,,,760619,Approximate
totallifechanges.com,totallifechanges.com,794587,769791,897999,Exact
totallykoozies.com,totallykoozies.com,,,576688,Exact
totallypromotional.com,totallypromotional.com,71004,287421,226325,Exact
totallyweddingkoozies.com,totallyweddingkoozies.com,436491,,418549,Exact
totallywicked-eliquid.co.uk,totallywicked-eliquid.co.uk,,989076,,Exact
totallywicked-eliquid.com,totallywicked-eliquid.co.uk,,989076,,Approximate
totallywicked-eliquid.de,totallywicked-eliquid.co.uk,,989076,,Approximate
totalpatioaccessories.com,totalpatioaccessories.com,,737915,,Exact
totalphase.com,totalphase.com,794588,,,Exact
totes.com,totes.com,698596,,,Exact
toto.com,toto.com,774798,878530,472360,Exact
totoro.store,totoro.banrep.gov.co,671333,917293,333862,Approximate
touchdolls.com,touchdolls.com,,979152,,Exact
toughmudder.com,toughmudder.com,176375,101253,38744,Exact
touredge.com,touredge.com,,406481,448372,Exact
touristlink.biz,touristlink.com,698597,628986,492932,Approximate
touristlink.com,touristlink.com,698597,628986,492932,Exact
touristlink.com.br,touristlink.com,698597,628986,492932,Approximate
touristlink.info,touristlink.com,698597,628986,492932,Approximate
touristlink.org,touristlink.com,698597,628986,492932,Approximate
tours.audio,tours.tourfactory.com,410199,248590,23808,Approximate
tous.cc,tous.com,292149,409291,556212,Approximate
tous.com,tous.com,292149,409291,556212,Exact
tous.es,tous.com,292149,409291,556212,Approximate
touslesfiltres.com,touslesfiltres.com,,447469,,Exact
touslesfiltres.fr,touslesfiltres.com,,447469,,Approximate
towersolutions.net,towersolutions.net,713470,,,Exact
towsure.co.uk,towsure.com,708467,,,Approximate
towsure.com,towsure.com,708467,,,Exact
toxicfox.co.uk,toxicfox.co.uk,671334,,,Exact
toyama.it,toyama.komae.tokyo.jp,,663575,,Approximate
toybox.us,toybox.tools.bbc.co.uk,241254,333913,321537,Approximate
toydojo.com,toydojo.com,,718259,866837,Exact
toyjoy.com,toyjoy.com,768658,,,Exact
toynk.com,toynk.com,578107,,701930,Exact
toyparty.co.uk,toyparty.cookappsgames.com,,817467,,Approximate
toyplanet.co.za,toyplanet.es,935342,,,Approximate
toys.com.br,de.tbs.toys,710602,758886,266533,Approximate
toys.com.mt,de.tbs.toys,710602,758886,266533,Approximate
toys.ee,de.tbs.toys,710602,758886,266533,Approximate
toys.lv,de.tbs.toys,710602,758886,266533,Approximate
toysplash.com,toysplash.com,,,866838,Exact
toysrus.co.il,toysrus.com,138285,45176,19649,Approximate
toysrus.co.za,toysrus.com,138285,45176,19649,Approximate
toysrus.com,toysrus.com,138285,45176,19649,Exact
toytales.ca,toytales.ca,642484,,,Exact
toytokyo.com,toytokyo.com,412294,,,Exact
toywiz.com,toywiz.com,306374,345861,449871,Exact
tp24.com,tp24.it,,979156,,Approximate
tpctraining.com,tpctraining.com,462501,843164,,Exact
tpesonline.com,tpesonline.com,,942595,,Exact
tpet.com,tpet.co.uk,,989082,517881,Approximate
tpg.com,tpg.com,476329,550792,474148,Exact
tples.com,tples.com,,,889792,Exact
tpls.ch,tpls.tycsports.com,,,906364,Approximate
tpms247.com,tpms247.com,860914,,,Exact
tpop.fr,tpop.kpzip.com,650477,207592,,Approximate
tpsl.co.nz,tpsl.ir,762621,543660,,Approximate
trackimo.co.za,trackimo.com,860930,843181,,Approximate
trackimo.com.au,trackimo.com,860930,843181,,Approximate
trackitonline.com.au,trackitonline.ru,808036,878550,701944,Approximate
tracksidehobby.com,tracksidehobby.com,,663585,,Exact
tractor.net,tractor.bigroad.com,,628999,960256,Approximate
tradelab.dk,tradelab.fr,14089,8481,2913,Approximate
tradesy.com,tradesy.com,71821,66794,70568,Exact
tradewindsimports.com,tradewindsimports.com,774826,,,Exact
tradezone.co.nz,tradezone.com.br,,,481333,Approximate
tradezone.com.au,tradezone.com.br,,,481333,Approximate
trafic.be,trafic.ro,155417,90111,84593,Approximate
trafic.com,trafic.ro,155417,90111,84593,Approximate
tragetaschen-discount.de,tragetaschen-discount.de,,,923863,Exact
trailersplus.com,trailersplus.com,781227,850010,,Exact
trailnest.com,trailnest.com,,,852334,Exact
trainer.life,trainer.pons.com,,,454364,Approximate
trainerswarehouse.com,trainerswarehouse.com,723512,850011,403982,Exact
trains.com.au,trains.com,207564,269433,246021,Approximate
trainz.com,trainz.com,262901,,,Exact
traktor.com.br,traktor.no,,,333967,Approximate
traktorpool.de,traktorpool.de,504577,,,Exact
tramontina.com.au,tramontina.net,,619409,372025,Approximate
transat.fr,transat.com,321305,263535,232350,Approximate
transcat.ca,transcat.com,337375,490671,499058,Approximate
transcat.com,transcat.com,337375,490671,499058,Exact
transcribeme.com,transcribeme.com,675713,811263,794324,Exact
transfast.com,transfast.com,837381,769825,,Exact
transit.pl,transit.mckinsey.com,453882,424282,221766,Approximate
transitionaldata.com,transitionaldata.com,,,788460,Exact
translation.equipment,translation.googleapis.com,209454,352020,29935,Approximate
transparentlabs.com,transparentlabs.com,877788,,923869,Exact
transporter-footwear.com,transporter-footwear.com,,,755451,Exact
transportr.io,transportr.io,204321,295378,366532,Exact
transtec.co.uk,transtec.de,,,915085,Approximate
transtec.de,transtec.de,,,915085,Exact
transtec.net,transtec.de,,,915085,Approximate
trap.international,trap.skype.com,5842,29849,42953,Approximate
travaasa.com,travaasa.com,612941,,,Exact
travel.coffee,travel.tile.appex.bing.com,5924,3762,2121,Approximate
travela.com.au,travela.priceline.com,,,402833,Approximate
travelchannel.co,travelchannel.com,61954,37549,32216,Approximate
travelex.com,travelex.com,461062,441229,503223,Exact
travellercollective.com,travellercollective.com,408091,,,Exact
travelo.net.au,travelo.hu,471649,341140,283625,Approximate
travelskateshop.com,travelskateshop.com,703417,,,Exact
travismathew.com,travismathew.com,421090,604417,689164,Exact
travismathew.eu,travismathew.com,421090,604417,689164,Approximate
travisscott.com,travisscott.com,151959,262334,,Exact
traxxas.fi,traxxas.com,459583,438897,481335,Approximate
treasure.co.il,treasure.craigslist.org,358999,447478,268788,Approximate
treasurebox.co.nz,treasurebox.duapp.com,,511106,219531,Approximate
treasurelingerie.com,treasurelingerie.com,860962,,,Exact
treasurerooms.com,treasurerooms.com,935392,,,Exact
treatadog.ca,treatadog.com,150328,,950926,Approximate
treatadog.com,treatadog.com,150328,,950926,Exact
trec.pl,trec.texas.gov,236302,291731,230969,Approximate
treccani.it,treccani.it,293021,94652,114023,Exact
tree2mydoor.com,tree2mydoor.com,801301,,,Exact
treehut.co,treehut.co,114443,215518,217707,Exact
treesforachange.com,treesforachange.com,425674,448736,,Exact
treex.com.au,treex.info,,,725048,Approximate
trekbicyclesuperstore.com,trekbicyclesuperstore.com,409155,592947,,Exact
treknorth.com.au,treknorth.com.au,,893591,,Exact
trekoverland.com,trekoverland.com,522733,,,Exact
trekphonecases.com,trekphonecases.com,739687,,,Exact
trektravel.com,trektravel.com,815041,,,Exact
trend.at,trend.mgronline.com,529221,47934,37208,Approximate
trend.si,trend.mgronline.com,529221,47934,37208,Approximate
trend.supply,trend.mgronline.com,529221,47934,37208,Approximate
trendcrown.com,trendcrown.co,,811271,,Approximate
trendcrown.in,trendcrown.co,,811271,,Approximate
trendnet.com.au,trendnet.com,173153,185109,178207,Approximate
trendsideas.co.nz,trendsideas.com,,635417,,Approximate
trendsideas.com,trendsideas.com,,635417,,Exact
trendsinternational.com,trendsinternational.com,,942633,,Exact
trendy.land,trendy.wp.pl,113389,109504,286520,Approximate
trendycoco.com,trendycoco.com,852922,,,Exact
trendysachen.com,trendysachen.com,,999429,,Exact
trendzz.ca,trendzz.com,,,182383,Approximate
tres-bien.com,tres-bien.com,149992,395940,654295,Exact
tresfancy.com,tresfancy.com,,817499,,Exact
tresmode.co.uk,tresmode.com,,,859616,Approximate
tresmode.com,tresmode.com,,,859616,Exact
trespass.co.uk,trespass.com,623586,,,Approximate
trespass.com,trespass.com,623586,,,Exact
trespass.ie,trespass.com,623586,,,Approximate
trex.com,trex.com,352583,353280,401704,Exact
triabeauty.cl,triabeauty.com,693786,,,Approximate
trialfire.com,trialfire.com,119488,97168,99638,Exact
trialsbikebreakersuk.com,trialsbikebreakersuk.com,994713,,,Exact
trian.gr,trian.net,,,492943,Approximate
triangl.com,triangl.com,794630,656265,472372,Exact
triathlon.de,triathlon.org,662754,493868,409972,Approximate
triathlon.mx,triathlon.org,662754,493868,409972,Approximate
tribalhollywood.com,tribalhollywood.com,144635,,,Exact
tribelacrosse.com,tribelacrosse.com,739690,,,Exact
tribesports.com,tribesports.com,,,528634,Exact
tric.dk,tric.gscontxt.net,,,30639,Approximate
trickortreatstudios.com,trickortreatstudios.com,,,979868,Exact
tricky3.co.uk,tricky3.io,703423,764398,889837,Approximate
tricky3.com,tricky3.io,703423,764398,889837,Approximate
trifork.ch,trifork.com,54791,77085,83493,Approximate
trigger.de,trigger.io,132480,266821,216593,Approximate
trilogysupply.com,trilogysupply.com,,885973,,Exact
trimble.com.ua,trimble.com,69336,83391,100231,Approximate
trinet.com,trinet.com,98870,142698,165383,Exact
trinityroad.com,trinityroad.com,339756,289389,280228,Exact
tripleplay.co,tripleplay.in,347127,357708,492945,Approximate
tripleplay.co.nz,tripleplay.in,347127,357708,492945,Approximate
tripleplay.xyz,tripleplay.in,347127,357708,492945,Approximate
tripping.com,tripping.com,464014,301481,201918,Exact
trippro.com.hk,trippro.com,,,657917,Approximate
trips.ae,trips.lastminute.com,180141,270017,307173,Approximate
tripshock.com,tripshock.com,533688,489083,706451,Exact
triumph.com,triumph.com,555334,573248,403988,Exact
trixie-baby.com,trixie-baby.com,606204,,,Exact
troisfoisparjour.com,troisfoisparjour.com,,823709,,Exact
trollweb.no,trollweb.no,815054,805050,898046,Exact
tronios.com,tronios.com,,,766078,Exact
tronios.ro,tronios.com,,,766078,Approximate
tropeaka.com.au,tropeaka.com,852940,,,Approximate
trophy.co.uk,trophy.ww.np.community.playstation.net,37630,32945,29249,Approximate
trophy.house,trophy.ww.np.community.playstation.net,37630,32945,29249,Approximate
trophyroomstore.com,trophyroomstore.com,380821,289046,,Exact
trophyskin.com,trophyskin.com,,,989662,Exact
tropic.com.mx,tropic.ssec.wisc.edu,708506,380306,520014,Approximate
tropicaltraditions.com,tropicaltraditions.com,,999441,800257,Exact
trotters.co.uk,trotters.co.uk,822231,,,Exact
trout.com.au,trout.bitrec.com,808065,,,Approximate
troutsflyfishing.com,troutsflyfishing.com,869119,,,Exact
trouw.nl,trouw.nl,158636,346501,121468,Exact
trove.boutique,trove.nla.gov.au,386253,303483,323646,Approximate
trove.ca,trove.nla.gov.au,386253,303483,323646,Approximate
trove.cc,trove.nla.gov.au,386253,303483,323646,Approximate
trove.gr,trove.nla.gov.au,386253,303483,323646,Approximate
troyesivan.com,troyesivan.com,,683335,,Exact
troygift.com,troygift.myshopify.com,781255,,,Approximate
trreat.com,trreat.com,,,782666,Exact
trubridal.com,trubridal.org,,,636878,Approximate
truck-accessoires.nl,truck-accessoires.nl,,,950939,Exact
trucker.se,trucker.com,,732875,561219,Approximate
truck-hero.com,truck-hero.com,,909382,,Exact
truckmate.de,truckmate.tmwsystems.com,787868,951515,745109,Approximate
truckmate.fr,truckmate.tmwsystems.com,787868,951515,745109,Approximate
truckmate.nl,truckmate.tmwsystems.com,787868,951515,745109,Approximate
truckyeah.com.br,truckyeah.jalopnik.com,,,54947,Approximate
truconnect.com,truconnect.com,837415,635427,,Exact
truebotanicals.com,truebotanicals.com,,601568,,Exact
truecommerce.us,truecommerce.com,197755,303096,396198,Approximate
truefabrications.com,truefabrications.com,,764407,,Exact
truefacet.com,truefacet.com,822234,601569,571498,Exact
truefitness.com,truefitness.com,723529,969737,,Exact
truelinkswear.com,truelinkswear.com,,989130,,Exact
truman.com.mx,truman.edu,353294,344676,288052,Approximate
trupanion.com,trupanion.com,222490,291392,363065,Exact
trussardi.com,trussardi.com,,792929,,Exact
trussardi.com.br,trussardi.com,,792929,,Approximate
trusthardware.co.uk,trusthardware.net,,,636881,Approximate
truthinaging.com,truthinaging.com,684579,704560,777109,Exact
trxtraining.ch,trxtraining.com,508447,416130,517901,Approximate
trxtraining.com,trxtraining.com,508447,416130,517901,Exact
trxtraining.it,trxtraining.com,508447,416130,517901,Approximate
trxtraining.nl,trxtraining.com,508447,416130,517901,Approximate
trysnow.com,trysnow.com,877827,,,Exact
trytheworld.com,trytheworld.com,,,360568,Exact
tsbliving.co.nz,tsbliving.co.nz,,836644,,Exact
tscapparel.com.cn,tscapparel.com,612950,607322,697683,Approximate
tsgroup.com.hk,tsgroup.co,,917358,,Approximate
tshirtmermaid.com,tshirtmermaid.com,787874,,,Exact
tshirtnow.net,tshirtnow.net,,,960301,Exact
tshirtunicorn.com,tshirtunicorn.com,895685,,505340,Exact
tstc.ca,tstc.edu,512426,548411,561224,Approximate
tstore.ro,tstore.co.kr,373478,337209,252160,Approximate
tsunami.co.in,tsunami.gov,,534638,87516,Approximate
t-tapp.com,t-tapp.com,,,960046,Exact
ttime.com.br,ttime.com.br,,743050,,Exact
tuan.hu,tuan.auto.ifeng.com,569300,381223,310149,Approximate
tuandco.com,tuandco.com,581082,,,Exact
tuango.co.nz,tuango.ca,552792,395069,268791,Approximate
tudoholic.com,tudoholic.com,801332,,,Exact
tueren-fachhandel.de,tueren-fachhandel.de,196003,,,Exact
tuff-luv.com,tuff-luv.com,794659,,,Exact
tuftandneedle.com,tuftandneedle.com,381699,476680,602225,Exact
tugo.co.za,tugo.com.vn,982044,265764,153139,Approximate
tukios.com,tukios.com,756816,,,Exact
tukshoes.com,tukshoes.com,946031,,,Exact
tukshoes.com.au,tukshoes.com,946031,,,Approximate
tula.co.uk,tula.aif.ru,121369,234946,204353,Approximate
tularosa.com,tularosa.net,500812,645639,487013,Approximate
tuli.si,tuli.inet.toronto.ca,,942658,,Approximate
tulio.com.au,dccegw01.tulio.com.br,570498,,,Approximate
tululu.com.au,tululu.org,,,881976,Approximate
tumi.co.uk,tumi.com,126820,199274,142224,Approximate
tumi.com.au,tumi.com,126820,199274,142224,Approximate
tumi.my,tumi.com,126820,199274,142224,Approximate
tumi.sg,tumi.com,126820,199274,142224,Approximate
tuna.zone,tuna.thesaurus.com,37391,236069,185200,Approximate
tungstenworld.com,tungstenworld.com,,901325,,Exact
tunisia-sat.com.tn,tunisia-sat.com,516492,622579,488957,Approximate
tunnel.nl,tunnel.web.trustedsource.org,15808,19417,12414,Approximate
tupelodesignsllc.com,tupelodesignsllc.com,914759,,,Exact
tupperware.ca,tupperware.com,262905,269174,212436,Approximate
tupperware.com,tupperware.com,262905,269174,212436,Exact
turismo.pt,turismo.ig.com.br,540654,101917,74600,Approximate
turner-sports.co.uk,turner-sports.massrel.io,,,941860,Approximate
turnoutpac.org,turnoutpac.org,322340,409302,411200,Exact
turntablelab.com,turntablelab.com,488057,536797,633649,Exact
turtle.co.il,turtle.census.shodan.io,693815,,845470,Approximate
turtlebeach.com,turtlebeach.com,533698,524220,627135,Exact
turtlecontacts.ca,turtlecontacts.com,895707,,,Approximate
turtlecontacts.co.nz,turtlecontacts.com,895707,,,Approximate
turtlecontacts.co.uk,turtlecontacts.com,895707,,,Approximate
turtlecontacts.com,turtlecontacts.com,895707,,,Exact
turtlecontacts.com.au,turtlecontacts.com,895707,,,Approximate
turtlewax.co.za,turtlewax.com,,,932923,Approximate
tury.by,tury.ru,994753,969758,845471,Approximate
tushy.me,tushy.me,,,574149,Exact
tusk.com,tusk.tufts.edu,,823730,923992,Approximate
tuts.com,imgs.tuts.dragoart.com,261291,269057,517050,Approximate
tutti.hu,tutti.ch,128123,102028,121887,Approximate
tuttocantiereonline.com,tuttocantiereonline.com,,,852446,Exact
tuttomagia.it,tuttomagia.it,,,782715,Exact
tuxedosonline.com,tuxedosonline.com,,723091,,Exact
tvbox.co.nz,tvbox.hinavi.net,354703,109232,369259,Approximate
tvdirect.tv,tvdirect.tv,,,819293,Exact
tvnz.co.nz,tvnz.co.nz,324356,348922,276950,Exact
tw1n.com,tw1n.multicdn.cloudinary.com,250954,301087,,Approximate
twenergy.com,twenergy.com,,,677107,Exact
twenty.love,twenty.fcbanking.com,,,915217,Approximate
twentyonepilots.com,twentyonepilots.com,703456,942679,685204,Exact
twil.fr,twil.io,578131,419114,,Approximate
twilightraven.com,twilightraven.com,,,866975,Exact
twine.co.il,twine.com,693824,871239,,Approximate
twistedenvy.com,twistedenvy.com,470079,817532,,Exact
twistedthrottle.ca,twistedthrottle.com,886631,775546,838768,Approximate
twistedthrottle.com,twistedthrottle.com,886631,775546,838768,Exact
twistedwire.co,twistedwire.co.uk,,843250,,Approximate
twister.ag,twister.lifehacker.ru,255292,365807,599246,Approximate
twitter,twitter,,239731,231637,Exact
twitter.com,twitter.com,109,70,41,Exact
twloha.com,twloha.com,,663634,,Exact
twobarefeet.co.uk,twobarefeet.co.uk,845157,,,Exact
twobarefeet.uk,twobarefeet.co.uk,845157,,,Approximate
twothirds.com,twothirds.com,845158,,,Exact
tylers.biz,tylers.s3.amazonaws.com,371650,352031,446854,Approximate
tylt.com,tylt.vote,787898,182098,142878,Approximate
tynker.com,tynker.com,82773,220842,167511,Exact
tyr.com,tyr.com,467049,753475,859729,Exact
tyrantcnc.com,tyrantcnc.com,,942694,,Exact
tyres.co.ke,tyres.theaa.com,141324,215245,175558,Approximate
tyrolit.com,tyrolit.com,,,689211,Exact
uacc.org,uacc.com.hk,,723101,,Approximate
uaf.com,uaf.com,,737980,,Exact
uapac.com,uapac.com,914794,,924021,Exact
uaredesign.com,uaredesign.com,,695948,,Exact
uaudio.com,uaudio.com,330259,355152,400609,Exact
uaudio.jp,uaudio.com,330259,355152,400609,Approximate
uber.ae,uber.com,3987,5219,4348,Approximate
uber.asia,uber.com,3987,5219,4348,Approximate
ubiqlife.com,ubiqlife.com,533708,553242,989800,Exact
ubnt.com,ubnt.com,5880,11385,13652,Exact
ubnt.com.cn,ubnt.com,5880,11385,13652,Approximate
ubox.com.au,ubox.cn,801363,,,Approximate
ubteam.co.nz,ubteam.co.uk,728882,864160,866990,Approximate
ubteam.co.uk,ubteam.co.uk,728882,864160,866990,Exact
ubteam.com,ubteam.co.uk,728882,864160,866990,Approximate
ubteam.com.au,ubteam.co.uk,728882,864160,866990,Approximate
ubteam.eu,ubteam.co.uk,728882,864160,866990,Approximate
ubteam.se,ubteam.co.uk,728882,864160,866990,Approximate
ubudu.com,ubudu.com,,309590,,Exact
ubuntu.com,ubuntu.com,5555,4683,4311,Exact
ubuy.ae,ubuy.com.my,808109,,,Approximate
ubuynz.co.nz,ubuynz.api.useinsider.com,689174,,,Approximate
uc.edu,uc.edu,75678,83836,57794,Exact
ucatholic.com,ucatholic.com,436507,743074,424806,Exact
ucatolica.edu.co,ucatolica.edu.co,616420,,,Exact
uclick.pk,uclick.com,260143,101814,65619,Approximate
ucom.am,ucom.am,378098,951583,,Exact
ucsusa.org,ucsusa.org,193884,217704,195898,Exact
udar.us,udar.net.ucsf.edu,957575,,,Approximate
udlap.mx,udlap.mx,185571,278187,270189,Exact
uexternado.edu.co,uexternado.edu.co,458163,787087,750359,Exact
uextremo.com,uextremo.com,728887,,,Exact
ufirst.net.au,ufirst.abcnews.go.com,22282,21235,181700,Approximate
ufix.co.za,ufix.att.com,256097,316244,288545,Approximate
ugears.co.za,ugears.online,,,267454,Approximate
ugears.me,ugears.online,,,267454,Approximate
ugears.online,ugears.online,,,267454,Exact
ugears.us,ugears.online,,,267454,Approximate
uggaustralia.com.ua,uggaustralia.com,654476,466497,537481,Approximate
ugm.org,ugm.org,774907,,,Exact
uhair.com,uhair.com,822297,,,Exact
uhsonline.co.uk,uhsonline.sharepoint.com,924992,,,Approximate
uiltexas.org,uiltexas.org,368076,389172,358908,Exact
ujena.com,ujena.com,,979316,,Exact
ukcyclingevents.co.uk,ukcyclingevents.co.uk,,319982,367452,Exact
ukf.com,ukf.com,,878651,989822,Exact
ukpos.com,ukpos.com,994854,,,Exact
ukrkniga.com,ukrkniga.com,895772,,,Exact
uksport.co,uksport.gov.uk,,,118837,Approximate
ulan.mx,ulan.mk.ru,,493889,445425,Approximate
u-line.com,u-line.com,,979270,819310,Exact
ullapopken.gr,ullapopken.de,384501,675365,898196,Approximate
ulogin.co.uk,ulogin.ru,26393,23046,21650,Approximate
ultimateears.com,ultimateears.com,465578,253584,183592,Exact
ultimate-hobby.com,ultimate-hobby.com,750957,,,Exact
ultra.by,ultra.iphmx.com,599737,55138,102927,Approximate
ultrabasic.com,ultrabasic.com,264336,,,Exact
ultraedit.org,ultraedit.com,197175,279361,289104,Approximate
ultramar.store,ultramar.cl,,,669366,Approximate
ultramobile.com,ultramobile.com,642553,798979,,Exact
ultraolive.com,ultraolive.com,745345,,,Exact
ultrasport.kiwi,ultrasport.ru,408107,,,Approximate
ultrawellnesscenter.com,ultrawellnesscenter.com,,989235,,Exact
ultykhopdi.com,ultykhopdi.com,398290,,,Exact
uma.vn,uma.vn,170907,284332,408748,Exact
umart.ca,umart.com.au,914832,,,Approximate
umbra.com,umbra.com,768769,635455,,Exact
umbra.no,umbra.com,768769,635455,693448,Approximate
umbro.com.br,umbro.com,,,685224,Approximate
umcdiscipleship.org,umcdiscipleship.org,558035,769888,706518,Exact
umka.store,umka.spb.ru,,817568,,Approximate
umka.uz.ua,umka.spb.ru,,817568,,Approximate
umotion.eu,umotion.com.br,837490,403798,112885,Approximate
ump.edu.my,ump.edu.my,,748283,685226,Exact
unav.edu,unav.edu,533718,485867,460831,Exact
unbeaujour.fr,unbeaujour.fr,,263538,,Exact
unbound.ie,unbound.syndetics.com,120442,286384,,Approximate
unbound.nyc,unbound.syndetics.com,120442,286384,,Approximate
uncensored.dk,uncensored.game,815141,,,Approximate
uncledrew.com,uncledrew.movie,,370086,,Approximate
unclesamsmisguidedchildren.com,unclesamsmisguidedchildren.com,,679403,782761,Exact
uncover.am,uncover.arelavellino.com,,659975,,Approximate
uncrate.com,uncrate.com,76814,81824,79753,Exact
undandy.com,undandy.com,680142,,,Exact
undeniable.com.au,undeniable.kent.edu,698671,,,Approximate
under.la,under.jp,969723,886052,825662,Approximate
under.me,under.jp,969723,886052,825662,Approximate
undercover.co.uk,undercover.s3.amazonaws.com,,,819338,Approximate
undercover.hk,undercover.s3.amazonaws.com,,,819338,Approximate
undergroundhiphop.com,undergroundhiphop.com,497043,886053,,Exact
undergroundshirts.com,undergroundshirts.com,470085,687504,233495,Exact
underpar.store,underpar.com,476360,402923,542070,Approximate
understood.hk,understood.org,117495,176512,179081,Approximate
undersummers.com,undersummers.com,109942,428645,,Exact
underthenile.com,underthenile.com,,909467,,Exact
unequal.com,unequal.com,,989250,,Exact
ungerweine.de,ungerweine.de,,769891,,Exact
unglue.net,unglue.net,504610,467866,800374,Exact
unhcr.ca,unhcr.org,149290,234948,130810,Approximate
unherd.co,unherd.com,627253,,,Approximate
